Username,Password,Version,Country,Channel,MPU2,MPU3,Season,Month,Brand,Consumer,Division,Segment,Dimension,Fields of Play,Style,StyleColor,Size,Value,,,,,,,
test165@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9154,HJ9154-003,3.5,3.5,,,,,,,
test166@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,II3704,II3704-600,3.5,3.55,,,,,,,
test167@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IH1871,IH1871-800,3.5,3.6,,,,,,,
test168@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM0465,IM0465-500,3.5,3.65,,,,,,,
test169@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IM7442,IM7442-001,3.5,3.7,,,,,,,
test170@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HM4351,HM4351-100,3.5,3.75,,,,,,,
test171@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HV2096,HV2096-001,3.5,3.8,,,,,,,
test172@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ4388,HJ4388-001,3.5,0.15,,,,,,,
test173@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-004,3.5,0.2,,,,,,,
test174@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HV1992,HV1992-003,3.5,0.25,,,,,,,
test175@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,IH2367,IH2367-100,3.5,0.3,,,,,,,
