Username,Password,Version,Country,Channel,MPU2,MPU3,Season,Month,Brand,Consumer,Division,Segment,Dimension,Fields of Play,Style,StyleColor,Size1,Size2,Size3,Size4,Value1,Value2,Value3,Value4,,,,
test22@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV1298,FV1298-105,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test23@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-003,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test24@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-004,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test25@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-100,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test26@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-400,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test27@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5524,FV5524-501,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test28@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5953,FV5953-006,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test29@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,FV5953,FV5953-101,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test30@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF0712,HF0712-101,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test31@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF0712,HF0712-401,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test32@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF2793,HF2793-100,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test33@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF2793,HF2793-600,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test34@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF2793,HF2793-700,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test35@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HF3450,HF3450-800,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test36@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ4388,HJ4388-001,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test37@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9153,HJ9153-003,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test38@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9153,HJ9153-004,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test39@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9153,HJ9153-100,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test40@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HJ9154,HJ9154-003,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test41@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HM4351,HM4351-100,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test42@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ1743,HQ1743-600,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test43@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-001,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test44@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-400,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test45@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-401,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test46@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8032,HQ8032-600,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test47@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-001,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test48@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-100,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test49@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-400,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
test50@dcdtesting.com,Perf@1234,CurrentWorkingView,UNITED STATES OF AMERICA,DIGITAL,NIKE DIRECT - DIGITAL COMMERCE,NIKE DIRECT - DIGITAL COMMERCE,FA2025,Jul-25,NIKE,MENS,FOOTWEAR DIVISION,PERFORMANCE,BASKETBALL,Mens Basketball,HQ8034,HQ8034-600,3.5,4,4.5,5,0.1,0.1,0.1,0.1,,,,
